day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,num_collisions
2,2020,06,16,2020-06-16,67.8,78.1,59.0,49.9,1028.1,10.0,,,,0.0,0.0,259
3,2020,06,10,2020-06-10,77.3,87.1,64.9,62.1,1014.2,9.9,,,,0.0,0.0,238
6,2020,06,06,2020-06-06,76.3,86.0,69.1,66.3,1008.2,7.8,,,,0.26,0.0,262
6,2020,01,25,2020-01-25,42.5,51.8,37.9,36.7,1019.6,6.7,,,,0.0,0.0,383
1,2020,06,15,2020-06-15,65.9,75.0,54.0,48.5,1028.9,10.0,,,,0.0,0.0,223
4,2020,05,28,2020-05-28,68.3,79.0,60.1,64.0,1021.6,9.3,,,,0.0,0.0,209
5,2020,06,19,2020-06-19,72.2,82.9,64.9,63.5,1019.6,9.0,,,,0.0,0.0,306
2,2020,06,09,2020-06-09,75.9,87.1,59.0,52.2,1013.7,10.0,,,,0.0,0.0,251
7,2020,05,31,2020-05-31,65.0,81.0,55.9,38.8,1016.3,10.0,,,,0.02,0.0,208
5,2020,06,12,2020-06-12,76.5,84.9,69.1,56.4,1017.6,9.6,,,,0.04,0.0,277
1,2020,01,27,2020-01-27,40.4,46.0,37.0,27.3,1006.2,10.0,,,,0.0,0.0,452
4,2020,06,04,2020-06-04,73.9,84.0,60.1,62.1,1009.4,10.0,,,,0.16,0.0,245
2,2020,06,02,2020-06-02,65.5,72.0,51.1,42.1,1016.1,10.0,,,,0.0,0.0,197
6,2020,05,23,2020-05-23,62.7,77.0,54.0,60.4,1016.3,5.5,,,,0.03,0.0,193
3,2020,06,17,2020-06-17,68.6,78.1,60.1,55.0,1024.9,10.0,,,,0.0,0.0,244
7,2020,05,24,2020-05-24,58.2,66.9,51.8,45.7,1023.2,10.0,,,,0.65,0.0,197
4,2020,06,11,2020-06-11,74.3,84.9,70.0,68.2,1014.7,9.2,,,,0.01,0.0,251
1,2020,06,01,2020-06-01,60.4,70.0,51.1,34.3,1021.7,10.0,,,,0.0,0.0,196
1,2020,05,18,2020-05-18,60.2,70.0,54.0,45.7,1021.2,10.0,,,,0.0,0.0,185
