"","day_num","num_collisions"
"1","4",586
"2","5",705
"3","7",445
"4","3",502
"5","1",703
"6","3",514
"7","4",580
"8","1",412
"9","5",666
"10","4",592
"11","3",489
"12","3",579
"13","4",601
"14","5",644
"15","6",383
"16","7",376
"17","1",452
"18","1",584
"20","2",618
"21","7",411
"22","7",398
"23","2",681
"24","3",498
"25","4",612
"26","2",627
"27","4",451
"28","2",571
"29","5",524
"30","3",630
"31","5",596
"32","7",374
"33","5",589
"34","6",479
"35","4",504
"36","1",565
"37","6",520
"38","2",430
"39","3",553
"40","1",360
"41","7",380
"42","5",598
"43","4",521
"44","6",448
"45","6",533
"46","6",455
"49","3",625
"50","4",696
"52","5",518
"56","6",353
"57","4",561
"58","4",542
"59","5",667
"60","7",373
"61","2",497
"62","1",658
"63","4",610
"65","1",477
"66","4",519
"67","4",657
"70","1",559
"71","5",677
"73","3",583
"75","1",580
"77","4",508
"81","7",418
"82","3",645
"83","6",475
"84","1",507
"86","3",497
"87","4",548
"88","4",549
"89","7",490
"90","3",687
"91","3",487
"92","5",456
"93","7",411
"95","2",657
"96","7",412
"98","5",722
"100","2",617
"101","1",542
"103","6",475
"104","5",605
"105","2",597
"106","6",774
"107","3",508
"108","6",418
"111","4",681
"112","6",495
"114","2",556
"115","2",777
"120","3",495
"121","4",525
"122","5",602
"124","2",542
"129","2",571
"130","5",600
"132","1",568
"133","2",531
"135","5",660
"136","3",611
"138","2",637
"139","2",408
"140","1",669
"141","3",578
"142","2",559
"145","5",599
"148","1",476
"149","6",439
"151","4",491
"152","4",521
"153","1",545
"154","6",456
"155","4",666
"157","7",485
"158","5",560
"159","2",500
"160","4",597
"161","6",510
"162","2",734
"163","1",720
"164","7",381
"165","3",399
"166","1",355
"167","2",513
"168","4",563
"169","4",413
"170","5",522
"173","3",480
"175","5",702
"176","4",395
"178","3",629
"179","7",393
"181","1",459
"185","5",645
"187","6",563
"188","6",428
"189","5",598
"190","7",532
"191","7",429
"192","3",623
"193","6",465
"194","6",558
"197","5",704
"200","5",561
"201","2",516
"203","1",521
"204","7",451
"206","7",428
"207","7",406
"208","3",649
"209","1",511
"210","4",555
"211","3",596
"212","6",422
"215","6",596
"217","3",590
"218","2",381
"222","5",674
"224","3",670
"229","6",475
"230","2",640
"232","1",496
"234","7",475
"237","1",518
"238","3",549
"239","7",517
"240","4",646
"241","3",616
"243","2",579
"244","3",506
"245","3",495
"246","5",604
"247","7",432
"248","2",684
"249","3",576
"252","5",505
"253","2",504
"254","6",495
"255","5",393
"256","6",389
"257","5",622
"259","1",449
"260","4",554
"262","7",494
"264","7",465
"266","1",531
"267","4",634
"268","2",654
"269","1",601
"270","4",552
"271","5",442
"272","4",602
"273","6",501
"274","2",404
"279","3",454
"280","7",388
"281","5",563
"282","2",613
"284","1",453
"285","1",390
"286","4",547
"287","6",554
"288","1",523
"289","5",751
"290","7",360
"291","6",481
"292","1",481
"293","7",406
"295","3",458
"296","3",545
"297","6",530
"301","5",583
"302","6",603
"303","6",484
"304","7",391
"307","7",462
"309","3",615
"310","2",544
"314","4",573
"316","4",592
"317","4",464
"320","1",680
"321","3",605
"322","3",538
"324","6",599
"326","7",393
"327","1",498
"328","4",603
"329","1",484
"330","5",423
"331","2",662
"332","5",566
"334","2",564
"335","5",700
"336","2",659
"337","6",526
"339","6",402
"340","2",491
"341","1",667
"342","2",527
"343","7",439
"344","6",535
"345","3",639
"346","6",540
"347","5",651
"348","5",661
"349","2",570
"350","4",664
"351","7",490
"352","4",699
"353","5",546
"354","3",529
"355","6",439
"356","6",577
"357","5",616
"358","1",568
"359","4",588
"360","2",687
"361","1",406
"362","3",615
"363","2",670
"364","3",615
"365","1",700
"366","7",445
"367","7",401
"368","4",597
"369","1",651
"370","7",519
"371","2",613
"372","6",409
"373","4",581
"374","6",507
"375","6",549
"376","2",464
"377","7",445
"379","7",479
"380","2",527
"381","2",458
"383","3",626
"384","3",570
"387","7",417
"388","2",591
"389","1",475
"390","4",504
"395","2",545
"396","7",400
"397","2",711
"398","1",493
"400","3",477
"401","6",449
"404","1",557
"405","7",361
"407","6",538
"408","2",631
"409","3",566
"411","1",435
"412","3",671
"414","7",450
"415","7",392
"416","3",537
"417","4",631
"419","7",541
"420","4",517
"421","3",673
"422","2",620
"423","3",552
"426","7",423
"427","3",585
"428","7",391
"435","4",645
"436","7",414
"437","3",574
"438","6",440
"440","2",518
"441","6",570
"443","4",594
"445","5",504
"446","7",481
"451","6",424
"452","6",511
