"","day_num","max_temp_standardised","num_collisions"
"1","4",-1.46607068466707,586
"2","5",-2.56192849288116,705
"3","7",-0.912550669293629,445
"4","3",-0.409350655317773,502
"5","1",-1.79594624938458,703
"6","3",-1.13060400868317,514
"7","4",-1.13060400868317,580
"8","1",-2.7520262759387,412
"9","5",-1.41575068326949,666
"10","4",-0.34784843138739,592
"11","3",-1.52757290859745,489
"12","3",-1.46607068466707,579
"13","4",-2.80234627733629,601
"14","5",-1.74562624798699,644
"15","6",-0.750408442568075,383
"16","7",-0.912550669293629,376
"17","1",-1.07469289601918,452
"18","1",-0.912550669293629,584
"20","2",-1.63380402265902,618
"21","7",-1.29274623540872,411
"22","7",-0.789546221432864,398
"23","2",-1.24242623401113,681
"24","3",-2.66256849567633,498
"25","4",-2.56192849288116,612
"26","2",-1.96927069864293,627
"27","4",-1.0243728946216,451
"28","2",-1.13060400868317,571
"29","5",-0.789546221432864,524
"30","3",-1.24242623401113,630
"31","5",-1.46607068466707,596
"32","7",-1.74562624798699,374
"33","5",-1.15296845374876,589
"34","6",-1.46607068466707,479
"35","4",-1.18092401008075,504
"36","1",-1.13060400868317,565
"37","6",-1.74562624798699,520
"38","2",-0.409350655317773,430
"39","3",-1.07469289601918,553
"40","1",-1.15296845374876,360
"41","7",-1.65616846772462,380
"42","5",-1.07469289601918,598
"43","4",-1.3542484593391,521
"44","6",-1.3542484593391,448
"45","6",-1.41575068326949,533
"46","6",-1.0243728946216,455
"49","3",-1.3542484593391,625
"50","4",-0.677723996104896,696
"52","5",-1.18092401008075,518
"56","6",-0.789546221432864,353
"57","4",-1.85744847331496,561
"58","4",-1.07469289601918,542
"59","5",-1.63380402265902,667
"60","7",-0.912550669293629,373
"61","2",-1.07469289601918,497
"62","1",-1.46607068466707,658
"63","4",-0.912550669293629,610
"65","1",-1.24242623401113,477
"66","4",-1.74562624798699,519
"67","4",-1.96927069864293,657
"70","1",-0.851048445363247,559
"71","5",-1.52757290859745,677
"73","3",-1.0243728946216,583
"75","1",-1.52757290859745,580
"77","4",-1.41575068326949,508
"81","7",-0.739226220035278,418
"82","3",-1.96927069864293,645
"83","6",-1.0243728946216,475
"84","1",-1.74562624798699,507
"86","3",-0.34784843138739,497
"87","4",-1.74562624798699,548
"88","4",-1.85744847331496,549
"89","7",-1.52757290859745,490
"90","3",-1.18092401008075,687
"91","3",-0.912550669293629,487
"92","5",-0.912550669293629,456
"93","7",-0.912550669293629,411
"95","2",-1.24242623401113,657
"96","7",-0.521172880645741,412
"98","5",-0.789546221432864,722
"100","2",-1.63380402265902,617
"101","1",0.378996033244403,542
"103","6",-0.912550669293629,475
"104","5",-0.912550669293629,605
"105","2",-1.52757290859745,597
"106","6",-1.74562624798699,774
"107","3",-0.851048445363247,508
"108","6",-2.0810929239709,418
"111","4",-1.0243728946216,681
"112","6",-1.68412402405661,495
"114","2",-1.79594624938458,556
"115","2",-2.13700403663488,777
"120","3",-1.41575068326949,495
"121","4",-1.52757290859745,525
