day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,num_collisions
1,2019,01,21,2019-01-21,10.7,16.0,3.9,-5.3,1014.0,10.0,,,,0.17,0.0,0,0,0,0,0,0,382
5,2019,01,25,2019-01-25,36.0,39.9,34.0,17.7,1011.8,10.0,,,,1.24,0.0,0,0,0,0,0,0,627
5,2020,01,24,2020-01-24,43.6,51.1,33.1,22.9,1027.4,9.4,,,,0.0,0.0,0,0,0,0,0,0,484
2,2014,01,21,2014-01-21,25.2,39.2,14.0,13.3,,,,,,0.0,0.0,0,0,0,0,0,0,959
3,2019,01,09,2019-01-09,42.7,45.0,34.0,30.1,1001.6,8.8,,,,0.16,0.0,0,1,0,0,0,0,473
7,2014,01,19,2014-01-19,29.1,35.6,24.8,16.0,,,,,,0.07,0.0,0,0,0,0,0,0,311
6,2014,01,18,2014-01-18,37.6,41.0,32.0,26.9,,,,,,0.0,0.0,0,0,0,0,0,0,369
5,2019,01,11,2019-01-11,26.7,34.0,21.0,6.8,1020.4,10.0,,,,0.0,0.0,0,0,0,0,0,0,590
4,2019,01,31,2019-01-31,8.4,15.1,1.9,-13.0,1026.4,10.0,,,,0.01,0.0,0,0,0,0,0,0,550
2,2019,01,15,2019-01-15,29.3,36.0,21.9,12.0,1020.2,10.0,,,,0.0,0.0,0,0,0,0,0,0,571
3,2014,01,22,2014-01-22,12.3,17.6,6.8,0.0,,,,,,0.46,0.0,0,0,0,0,0,0,436
2,2019,01,22,2019-01-22,18.9,30.0,3.9,-0.6,1033.7,10.0,,,,0.0,0.0,0,0,0,0,0,0,571
5,2014,01,24,2014-01-24,14.7,19.4,10.4,-3.6,,,,,,0.0,7.1,0,0,0,0,0,0,574
4,2019,01,24,2019-01-24,52.3,59.0,30.9,47.5,1011.1,6.2,,,,0.09,0.0,1,1,0,0,0,0,549
4,2014,01,16,2014-01-16,39.4,41.0,36.1,32.7,,,,,,0.0,0.0,0,0,0,0,0,0,448
1,2019,01,07,2019-01-07,29.5,48.9,25.0,7.7,1029.0,10.0,,,,0.0,0.0,0,0,0,0,0,0,534
7,2020,01,26,2020-01-26,42.6,51.1,37.9,32.8,1008.5,10.0,,,,0.85,0.0,0,0,0,0,0,0,367
2,2019,01,29,2019-01-29,32.7,43.0,25.0,21.7,1015.4,9.3,,,,0.0,0.0,0,1,1,0,0,0,626
7,2019,01,20,2019-01-20,34.0,42.1,19.0,29.5,1001.4,5.8,,,,1.0,0.0,0,1,1,0,0,0,377
3,2019,01,23,2019-01-23,35.5,46.0,28.9,15.8,1027.7,10.0,,,,0.0,0.0,0,0,0,0,0,0,520
1,2019,01,14,2019-01-14,26.7,33.1,21.9,11.2,1024.2,10.0,,,,0.0,0.0,0,0,0,0,0,0,650
3,2019,01,16,2019-01-16,34.0,39.0,25.0,19.6,1018.1,9.3,,,,0.0,0.0,0,0,0,0,0,0,535
3,2019,01,30,2019-01-30,28.6,43.0,10.9,15.7,1012.2,8.9,,,,0.23,0.0,1,1,1,0,0,0,501
4,2020,01,23,2020-01-23,38.7,46.9,25.0,16.8,1029.0,10.0,,,,0.0,0.0,0,0,0,0,0,0,416
2,2019,01,01,2019-01-01,50.5,57.9,36.0,43.2,1009.8,7.0,,,,1.08,0.0,0,1,0,0,0,0,397
5,2019,01,18,2019-01-18,33.4,39.0,24.1,26.3,1020.9,6.2,,,,0.05,0.0,0,0,1,0,0,0,552
7,2019,01,13,2019-01-13,29.4,34.0,19.9,9.9,1030.0,9.7,,,,0.0,0.0,0,0,1,0,0,0,349
1,2019,01,28,2019-01-28,31.4,45.0,24.8,11.7,1017.4,10.0,,,,0.0,0.0,0,0,0,0,0,0,512
6,2019,01,12,2019-01-12,25.6,34.0,19.9,4.9,1031.9,10.0,,,,0.0,0.0,0,0,0,0,0,0,482
1,2020,01,27,2020-01-27,40.4,46.0,37.0,27.3,1006.2,10.0,,,,0.0,0.0,0,0,0,0,0,0,413
4,2019,01,03,2019-01-03,41.1,44.1,35.1,29.4,1015.8,9.9,,,,0.0,0.0,0,0,0,0,0,0,465
2,2019,01,08,2019-01-08,38.9,45.0,25.0,31.3,1018.8,6.8,,,,0.07,0.0,0,1,0,0,0,0,521
6,2019,01,05,2019-01-05,44.2,46.9,35.1,41.0,1003.3,5.3,,,,0.22,0.0,0,1,0,0,0,0,417
